device_id,device,tuple,Energy,Scenario,app
5,proxy-server,PTZ_PARAMS_1,82.1274999981808,Router_Proxy,dcns_1
5,proxy-server,DETECTED_OBJECT_1,6397.2999999946605,Router_Proxy,dcns_1
5,proxy-server,DETECTED_OBJECT,6656.649999994668,Router_Proxy,dcns_0
6,d-0,MOTION_VIDEO_STREAM_1,134177.01818170713,Router_Proxy,dcns_1
6,d-0,PTZ_PARAMS_1,3143.6363636335045,Router_Proxy,dcns_1
6,d-0,PTZ_PARAMS,3143.636363633739,Router_Proxy,dcns_0
6,d-0,DETECTED_OBJECT,6943.299999994468,Router_Proxy,dcns_0
7,m-0-0,MOTION_VIDEO_STREAM_1,2873.6466909849205,Router_Proxy,dcns_1
7,m-0-0,MOTION_VIDEO_STREAM,2997.2443981240363,Router_Proxy,dcns_0
8,m-0-1,MOTION_VIDEO_STREAM_1,2873.6466909849205,Router_Proxy,dcns_1
8,m-0-1,MOTION_VIDEO_STREAM,2997.2443981240363,Router_Proxy,dcns_0
9,m-0-2,MOTION_VIDEO_STREAM_1,2873.6466909849205,Router_Proxy,dcns_1
9,m-0-2,MOTION_VIDEO_STREAM,2997.2443981240363,Router_Proxy,dcns_0
10,m-0-3,MOTION_VIDEO_STREAM_1,2873.6466909849205,Router_Proxy,dcns_1
10,m-0-3,MOTION_VIDEO_STREAM,2997.2443981240363,Router_Proxy,dcns_0
