scenario,device_id,device,tuple,energy,app
Router_Proxy,5,proxy-server,PTZ_PARAMS_1,82.1274999981808,dcns_1
Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6397.2999999946605,dcns_1
Router_Proxy,5,proxy-server,DETECTED_OBJECT,6656.649999994668,dcns_0
Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134177.01818170713,dcns_1
Router_Proxy,6,d-0,PTZ_PARAMS_1,3143.6363636335045,dcns_1
Router_Proxy,6,d-0,PTZ_PARAMS,3143.636363633739,dcns_0
Router_Proxy,6,d-0,DETECTED_OBJECT,6943.299999994468,dcns_0
Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,5,proxy-server,PTZ_PARAMS_1,82.1274999981808,dcns_1
Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6397.2999999946605,dcns_1
Router_Proxy,5,proxy-server,DETECTED_OBJECT,6656.649999994668,dcns_0
Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134177.01818170713,dcns_1
Router_Proxy,6,d-0,PTZ_PARAMS_1,3143.6363636335045,dcns_1
Router_Proxy,6,d-0,PTZ_PARAMS,3143.636363633739,dcns_0
Router_Proxy,6,d-0,DETECTED_OBJECT,6943.299999994468,dcns_0
Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,5,proxy-server,PTZ_PARAMS_1,82.1274999981808,dcns_1
Proxy_Only,5,proxy-server,DETECTED_OBJECT_1,1988.3499999983144,dcns_1
Proxy_Only,5,proxy-server,PTZ_PARAMS,82.12749999830365,dcns_0
Proxy_Only,5,proxy-server,DETECTED_OBJECT,2247.699999998324,dcns_0
Proxy_Only,6,d-0,MOTION_VIDEO_STREAM_1,134177.01818170713,dcns_1
Proxy_Only,6,d-0,PTZ_PARAMS_1,3143.6363636335045,dcns_1
Proxy_Only,6,d-0,PTZ_PARAMS,3143.636363633739,dcns_0
Proxy_Only,6,d-0,MOTION_VIDEO_STREAM,139948.07272716088,dcns_0
Proxy_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,7,m-0-0,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,8,m-0-1,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,9,m-0-2,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,10,m-0-3,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,5,proxy-server,PTZ_PARAMS_1,82.1274999981808,dcns_1
Proxy_Only,5,proxy-server,DETECTED_OBJECT_1,1988.3499999983144,dcns_1
Proxy_Only,5,proxy-server,PTZ_PARAMS,82.12749999830365,dcns_0
Proxy_Only,5,proxy-server,DETECTED_OBJECT,2247.699999998324,dcns_0
Proxy_Only,6,d-0,MOTION_VIDEO_STREAM_1,134177.01818170713,dcns_1
Proxy_Only,6,d-0,PTZ_PARAMS_1,3143.6363636335045,dcns_1
Proxy_Only,6,d-0,PTZ_PARAMS,3143.636363633739,dcns_0
Proxy_Only,6,d-0,MOTION_VIDEO_STREAM,139948.07272716088,dcns_0
Proxy_Only,7,m-0-0,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,7,m-0-0,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,8,m-0-1,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,8,m-0-1,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,9,m-0-2,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,9,m-0-2,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Proxy_Only,10,m-0-3,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Proxy_Only,10,m-0-3,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,5,proxy-server,PTZ_PARAMS_1,82.1274999981808,dcns_1
Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,6397.2999999946605,dcns_1
Router_Proxy,5,proxy-server,DETECTED_OBJECT,6656.649999994668,dcns_0
Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,134177.01818170713,dcns_1
Router_Proxy,6,d-0,PTZ_PARAMS_1,3143.6363636335045,dcns_1
Router_Proxy,6,d-0,PTZ_PARAMS,3143.636363633739,dcns_0
Router_Proxy,6,d-0,DETECTED_OBJECT,6943.299999994468,dcns_0
Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2873.6466909849205,dcns_1
Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,2997.2443981240363,dcns_0
