scenario,device,energy
Router_Proxy,cloud ,2421940.93607143
Router_Proxy,proxy-server ,195125.56714200202
Router_Proxy,d-0 ,203388.99568000098
Router_Proxy,m-0-0 ,168223.1019999993
Router_Proxy,m-0-1 ,168223.1019999993
Router_Proxy,m-0-2 ,168223.1019999993
Router_Proxy,m-0-3 ,168223.1019999993
Router_Proxy,cloud ,2421940.93607143
Router_Proxy,proxy-server ,195125.56714200202
Router_Proxy,d-0 ,203388.99568000098
Router_Proxy,m-0-0 ,168223.1019999993
Router_Proxy,m-0-1 ,168223.1019999993
Router_Proxy,m-0-2 ,168223.1019999993
Router_Proxy,m-0-3 ,168223.1019999993
Proxy_Only,cloud ,2415847.6789285713
Proxy_Only,proxy-server ,207945.31956600765
Proxy_Only,d-0 ,0.0
Proxy_Only,m-0-0 ,168223.1019999993
Proxy_Only,m-0-1 ,168223.1019999993
Proxy_Only,m-0-2 ,168223.1019999993
Proxy_Only,m-0-3 ,168223.1019999993
Proxy_Only,cloud ,2415847.6789285713
Proxy_Only,proxy-server ,207945.31956600765
Proxy_Only,d-0 ,0.0
Proxy_Only,m-0-0 ,168223.1019999993
Proxy_Only,m-0-1 ,168223.1019999993
Proxy_Only,m-0-2 ,168223.1019999993
Proxy_Only,m-0-3 ,168223.1019999993
Router_Proxy,cloud ,2421940.93607143
Router_Proxy,proxy-server ,195125.56714200202
Router_Proxy,d-0 ,203388.99568000098
Router_Proxy,m-0-0 ,168223.1019999993
Router_Proxy,m-0-1 ,168223.1019999993
Router_Proxy,m-0-2 ,168223.1019999993
Router_Proxy,m-0-3 ,168223.1019999993
