scenario,device,app,vm,energy
Router_Proxy,cloud ,dcns_1,user_interface_1,12823.499999997002
Router_Proxy,cloud ,dcns_0,user_interface,13373.078571425585
Router_Proxy,proxy-server ,dcns_1,object_tracker_1,60871.94690000103
Router_Proxy,proxy-server ,dcns_1,object_detector_1,120191.771859996
Router_Proxy,d-0 ,dcns_0,object_tracker,63497.15215714387
Router_Proxy,d-0 ,dcns_0,object_detector,123119.36641428557
Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-0 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-1 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-2 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-3 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,cloud ,dcns_1,user_interface_1,12823.499999997002
Router_Proxy,cloud ,dcns_0,user_interface,13373.078571425585
Router_Proxy,proxy-server ,dcns_1,object_tracker_1,60871.94690000103
Router_Proxy,proxy-server ,dcns_1,object_detector_1,120191.771859996
Router_Proxy,d-0 ,dcns_0,object_tracker,63497.15215714387
Router_Proxy,d-0 ,dcns_0,object_detector,123119.36641428557
Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-0 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-1 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-2 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-3 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,cloud ,dcns_1,user_interface_1,4030.242857141915
Proxy_Only,cloud ,dcns_0,user_interface,4579.821428570498
Proxy_Only,proxy-server ,dcns_1,object_tracker_1,31288.77797146417
Proxy_Only,proxy-server ,dcns_1,object_detector_1,68185.40839404344
Proxy_Only,proxy-server ,dcns_0,object_tracker,33896.88872614997
Proxy_Only,proxy-server ,dcns_0,object_detector,74460.29299261558
Proxy_Only,m-0-0 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-0 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,m-0-1 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-1 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,m-0-2 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-2 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,m-0-3 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-3 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,cloud ,dcns_1,user_interface_1,4030.242857141915
Proxy_Only,cloud ,dcns_0,user_interface,4579.821428570498
Proxy_Only,proxy-server ,dcns_1,object_tracker_1,31288.77797146417
Proxy_Only,proxy-server ,dcns_1,object_detector_1,68185.40839404344
Proxy_Only,proxy-server ,dcns_0,object_tracker,33896.88872614997
Proxy_Only,proxy-server ,dcns_0,object_detector,74460.29299261558
Proxy_Only,m-0-0 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-0 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,m-0-1 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-1 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,m-0-2 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-2 ,dcns_0,motion_detector,69953.97599999934
Proxy_Only,m-0-3 ,dcns_1,motion_detector_1,66925.43799999933
Proxy_Only,m-0-3 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,cloud ,dcns_1,user_interface_1,12823.499999997002
Router_Proxy,cloud ,dcns_0,user_interface,13373.078571425585
Router_Proxy,proxy-server ,dcns_1,object_tracker_1,60871.94690000103
Router_Proxy,proxy-server ,dcns_1,object_detector_1,120191.771859996
Router_Proxy,d-0 ,dcns_0,object_tracker,63497.15215714387
Router_Proxy,d-0 ,dcns_0,object_detector,123119.36641428557
Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-0 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-1 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-2 ,dcns_0,motion_detector,69953.97599999934
Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66925.43799999933
Router_Proxy,m-0-3 ,dcns_0,motion_detector,69953.97599999934
